date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
2-Jan-25,2025,Unprovoked,NEW CALEDONIA,Grande Terre,Islet Of Kendek Near Koumac,Spearfishing,M,40.0,Y,16:15:00r,Male,Spearfishing,16.0,Afternoon
2-Jan-25,2025,Unprovoked,AUSTRALIA,South Australia,Granites Beach Near Westall Streaky Bay,Surfing,M,28.0,Y,17:10:00r,Male,Surfing,17.0,Evening
30-Dec-24,2024,Unprovoked,MOZAMBIQUE,?,?,Diving,M ,,Y,?,Male,Diving,,
29-Dec-24,2024,Unprovoked,EGYPT,North Of Marsa Alam,Red Sea,SCUBA Diving,M,69.0,N,?,Male,Diving,,
29-Dec-24,2024,Unprovoked,EGYPT,North Of Marsa Alam,Red Sea,SCUBA Diving,M,48.0,Y,?,Male,Diving,,
28-Dec-24,2024,Unprovoked,AUSTRALIA,Queensland,Humpy Island Great Keppel Island,Spearfishing,M,40.0,Y,16:37:00r,Male,Spearfishing,16.0,Afternoon
2-Dec-24,2024,Unprovoked,AUSTRALIA,Queensland,Curtis Island Near Gladstone Qld Central Coast,Spearfishing,M,60.0,N,?,Male,Spearfishing,,
1-Dec-24,2024,Unprovoked,AUSTRALIA,Western Australia,Greenough River Mouth Beach Cape Burney South Of Geraldton,Surfing,M,,N,?,Male,Surfing,,
30-Nov-24,2024,Unprovoked,THAILAND,Phang Nga Province,Khao Lak Beach,Swimming,F,57.0,N,?,Female,Swimming,,
19-Nov-24,2024,Unprovoked,NEW ZEALAND,Bay Of Waitangi,Chatham Islands,Diving,M,24.0,Y,AM,Male,Diving,,
15-Nov-24,2024,Unprovoked,MALDIVES,Kaafu,Maafushi,Diving,F,45.0,N,?,Female,Diving,,
1-Nov-24,2024,Unprovoked,HAWAII,Maui,Sand Piles Waiehu Beach Park,Surfing,M,61.0,N,?,Male,Surfing,,
31-Oct-24,2024,Unprovoked,AUSTRALIA,Queensland,Whitsunday Islands,Snorkeling,F,57.0,N,16:30:00rs,Female,Snorkeling,16.0,Afternoon
25-Oct-24,2024,Unprovoked,UNITED STATES,Florida,"Bathtub Beach, Martin County",Surfing,M,27.0,N,AM,Male,Surfing,,
14-Oct-24,2024,Unprovoked,HONDURAS,Tela,Atlantida,Swimming,M,38.0,N,?,Male,Swimming,,
11-Oct-24,2024,Unprovoked,UNITED STATES,Florida,Brevard County Orlando,Surfing,M,16.0,N,?,Male,Surfing,,
26-Sep-24,2024,Questionable,INDONESIA,Timor Leste,Pulau Reong Island,Disappeared whilst diving remains found in shark,F,68.0,Y,?,Female,Diving,,
17-Sep-24,2024,Unprovoked,HONDURAS,Trujillo Colon,Puerto Castillo,Diving for shellfish,M,33.0,N,?,Male,Diving,,
16-Sep-24,2024,Unprovoked,MOROCCO,Southern Morocco,West Of Dakhla,Swimming - jumped off yacht,F,30.0,Y,16:00:00r,Female,Swimming,16.0,Afternoon
26-Aug-24,2024,Unprovoked,JAMAICA,Montego Bay,Falmouth,Spearfishing,M,16.0,Y,?,Male,Spearfishing,,
6-Aug-24,2024,Unprovoked,BELIZE,Gulf Of Honduras,Central America,Swimming - Diving ,F,15.0,N,11:30:00rs,Female,Swimming,11.0,Morning
23-Jul-24,2024,Unprovoked,AUSTRALIA,New South Wales,"North Shore Beach, Port Macquarie",Surfing,M,23.0,N,11:00:00rs,Male,Surfing,11.0,Morning
18-Jul-24,2024,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach Sterling,Surfing,M,41.0,N,17:35:00rs,Male,Surfing,17.0,Evening
8-Jul-24,2024,Unprovoked,UNITED STATES,Florida,Ponce De Leon Inlet Volusia County,Diving into Water,M,14.0,N,11:15:00rs,Male,Diving,11.0,Morning
8-Jul-24,2024,Unprovoked,AUSTRALIA,Western Australia,Beach Coral Bay (Gascoyne Region),Spearfishing,M,43.0,N,11:18:00rs,Male,Spearfishing,11.0,Morning
5-Jul-24,2024,Unprovoked,UNITED STATES,Florida,New Smyrna Beach,Wading,M,26.0,N,16:15:00rs,Male,Swimming,16.0,Afternoon
4-Jul-24,2024,Unprovoked,UNITED STATES,Texas,South Padre Island,Swimming,F,,N,?,Female,Swimming,,
4-Jul-24,2026,Unprovoked,UNITED STATES,Texas,South Padre Island,Swimming,F,18.0,N,?,Female,Swimming,,
4-Jul-24,2025,Unprovoked,UNITED STATES,Texas,South Padre Island,Swimming,F,18.0,N,?,Female,Swimming,,
4-Jul-24,2024,Unprovoked,UNITED STATES,Floria,New Smyrna Beach,Playing football in the water,M,21.0,N,11:00:00r,Male,Other,11.0,Morning
4-Jul-24,2024,Unprovoked,UNITED STATES,Florida,New Smyrna Beach Beach Access Volusia County,Swimming,M,,N,11:00:00r,Male,Swimming,11.0,Morning
23-Jun-24,2024,Unprovoked,UNITED STATES,Hawaii,Goat Island (Moku'Auia) La'Ie Bay,Surfing,M,49.0,Unknown,after 1200:00r,Male,Surfing,12.0,Afternoon
7-Jun-24,2024,Unprovoked,UNITED STATES,Hawaii,"Haleiwa, Oahu",Unconfirmed Possibly swimming near the boat harbour,F,25.0,N,14:00:00r,Female,Swimming,14.0,Afternoon
7-Jun-24,2024,Unprovoked,UNITED STATES,Florida,Rosemary Beach Walton County,Wading,F,15.0,N,15.5,Female,Swimming,15.0,Afternoon
7-Jun-24,2024,Unprovoked,UNITED STATES,Florida,Water Sound Beach Walton County,Swimming,F,45.0,N,13:15,Female,Swimming,13.0,Afternoon
2-Jun-24,2024,Unprovoked,UNITED STATES,California,Del Mar Beach San Diego,Swimming ocean training ,M,46.0,N,9:00,Male,Swimming,9.0,Morning
2-Jun-24,2024,Unprovoked,MALDIVES,Maahvah Laamu Atoll,Indian Ocean,Military ocean training,M,23.0,Y,13:00,Male,Other,13.0,Afternoon
28-May-24,2024,Unprovoked,UNITED STATES,Galveston,Jamaica Beach,Wading,F,19.0,N,14:00,Female,Swimming,14.0,Afternoon
24-May-24,2024,Unprovoked,TURKS & CAICOS,Providenciales Island,Leward Reef,snorkelling,M,27.0,N,15:30,Male,Snorkeling,15.0,Afternoon
23-May-24,2024,Unprovoked,FRENCH POLYNESIA,Gambier Islands,Mangareva Atoll,Freediving,M,20.0,N,Not stated,Male,Diving,,
2-May-24,2024,Unprovoked,UNITED STATES,South Carolina,Y- ' Ledge Reef Chareston Coast,Spearfishing,M,65.0,N,13:30,Male,Spearfishing,13.0,Afternoon
26-Apr-24,2024,Unprovoked,TOBAGO,Graet Courland Bay,Turtle Beach,Swimming,M,64.0,N,9:15,Male,Swimming,9.0,Morning
26-Apr-24,2024,Unprovoked,BAHAMAS,Clarence Town Long Isand,Flying Fish Marina,Jumpinf from dock to boat acidentally fell into water at marina,M,24.0,N,Not advised,Male,Other,,
20-Apr-24,2024,Unprovoked,AUSTRALIA,South Australia,West Beach Glenelg,Fishing,M,16.0,N,13:40,Male,Fishing,13.0,Afternoon
20-Apr-24,2024,Unprovoked,AUSTRALIA,Western Australia,Lighthouse Bombie Surf Spot Exemouth,Surfing,M,26.0,N,12:30,Male,Surfing,12.0,Afternoon
8-Apr-24,2024,Unprovoked,MALDIVES,Nunu Atoll,Unspecified,Swimming,M,,N,Not advised,Male,Swimming,,
15 Mar 2024,2024,Unprovoked,AUSTRALIA,Queensland,Bargara Beach,Swimming,F,13.0,N,16:00,Female,Swimming,16.0,Afternoon
04 Mar 2024,2024,Unprovoked,UNITED STATES,Hawaii,"Old Man'S, Waikiki",Surfing,M,,N,nan,Male,Surfing,,
02 Mar-2024,2024,Unprovoked,UNITED STATES,Hawaii,"Rainbows, Oahu",Swimming,F,11.0,N,13:30,Female,Swimming,13.0,Afternoon
25 Feb-2024,2024,Unprovoked,AUSTRALIA,Western Australia,"Sandlnd Island, Jurian Bay",Swimming,F,46.0,N,11:30,Female,Swimming,11.0,Morning
14 Feb-2024,2024,Unprovoked,INDIA,Maharashtra,"Vaitarna River, Palghar District",Fishing,M,32.0,N,nan,Male,Fishing,,
04-Feb-2024,2024,Provoked,TRINIDAD,,,Spearfishing,M,,N,06:30,Male,Spearfishing,6.0,Morning
29 Jan-2024,2024,Unprovoked,AUSTRALIA,New  South Wales,"Elizabeth Bay, Sydney Harbor",Swimming,F,29.0,N,20:00,Female,Swimming,20.0,Evening
15 Jan-2024,2024,Unprovoked,BAHAMAS,Paradise Island,Paradise Island Resort,Swimming,M,10.0,N,16:00,Male,Swimming,16.0,Afternoon
09-Jan-2024,2024,Unprovoked,AUSTRALIA,South Australia,"Walkers Beach, Elliston",Surfing,M,64.0,N,13:00,Male,Surfing,13.0,Afternoon
05-Jan-2024,2024,Provoked,SOUTH AFRICA,Eastern Cape Province,Papiesfontein,Fishing,M,62.0,N,nan,Male,Fishing,,
30 Dec-2023,2023,Unprovoked,UNITED STATES,Hawaii,"Baby Beach, Maui",Surfing,M,39.0,Y,11:12,Male,Surfing,11.0,Morning
29 Dec-2023,2023,Unprovoked,MEXICO,Sonora,"Tojahui Beach, Yavaros, Huatabampo",Free diving,M,22.0,Y,13:00,Male,Diving,13.0,Afternoon
28 Dec-2023,2023,Unprovoked,AUSTRALIA,South Australia,Ethel Beach,Surfing,M,15.0,Y,13:30,Male,Surfing,13.0,Afternoon
25 Dec-2023,2023,Unprovoked,AUSTRALIA,New South Wales,Old Bar,Surfing,M,16.0,N,16:30,Male,Surfing,16.0,Afternoon
24-Dec-2023,2023,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Foil Boarding,M,46.0,N,15:00,Male,Surfing,15.0,Afternoon
18 Dec-2023,2023,Unprovoked,NEW ZEALAND,South Island,Riverton,Wading,F,21.0,N,02:00,Female,Swimming,2.0,Night
14  Dec-2023,2023,Questionable,MEXICO,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,M,66.0,Y,09:15,Male,Swimming,9.0,Morning
14  Dec-2023,2023,Questionable,MEXICO,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,F,52.0,N,Morning,Female,Swimming,,
08 Dec-2023,2023,Unprovoked,AUSTRALIA,Queensland,,Snorkeling,M,20.0,N,16:32,Male,Snorkeling,16.0,Afternoon
04 Dec-2023,2023,Unprovoked,BAHAMAS,New Providence   Isoad,Sandals Resort,Paddle boarding,F,44.0,Y,11:00,Female,Surfing,11.0,Morning
02 Dec-2023,2023,Unprovoked,MEXICO,Jalisco,San Patricio Melaque,Swimming,F,26.0,Y,Morning,Female,Swimming,,
30 Nov-2023,2023,Unprovoked,AUSTRALIA,Queensland,Clack Island,Swimming,M,21.0,N,11:30,Male,Swimming,11.0,Morning
