date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
18-Aug-2010,2010,Unprovoked,UNITED STATES,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,10.0,N,09:00,Male,Surfing,9.0,Morning
17-Aug-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,31.0,Y,08:05,Male,Surfing,8.0,Morning
14-Aug-2010,2010,Watercraft,UNITED STATES,California,"Pigeon Point, San Mateo County",Kayak Fishing,M,45.0,N,nan,Male,Fishing,,
10-Aug-2010,2010,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,,N,19:00,Female,Fishing,19.0,Evening
10-Aug-2010,2010,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,16.0,N,Afternoon,Female,Swimming,,
08-Aug-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,47.0,N,08:00,Male,Surfing,8.0,Morning
07-Aug-2010,2010,Unprovoked,UNITED STATES,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25.0,N,15:00,Male,Surfing,15.0,Afternoon
07-Aug-2010,2010,Unprovoked,MALTA,,"Off Fort St. Elmo, Valetta",Windsurfing,M,35.0,N,nan,Male,Surfing,,
05-Aug-2010,2010,Invalid,UNITED STATES,Florida,"Bethune Beach, Volusia County",Swimming,F,,Unknown,19:15,Female,Swimming,19.0,Evening
02-Aug-2010,2010,Watercraft,UNITED STATES,California,"Near Oil Rig Hondo, Nm From Gaviota, Santa Barbara County",Kayaking,M,,N,12:40,Male,Other,12.0,Afternoon
02-Aug-2010,2010,Unprovoked,UNITED STATES,Florida,"Micklers Landing, St. Johns County",Standing,F,37.0,N,11:00,Female,Other,11.0,Morning
25-Jul-2010,2010,Unprovoked,UNITED STATES,South Carolina,"Isle Of Palms, Charleston County",Standing,M,16.0,N,nan,Male,Other,,
23-Jul-2010,2010,Unprovoked,UNITED STATES,Florida,"Jacksonville Beach, Duval County",Surfing,M,20.0,N,16:30,Male,Surfing,16.0,Afternoon
19-Jul-2010,2010,Unprovoked,UNITED STATES,South Carolina,Myrtle Beach,Swimming,M,10.0,N,10:35,Male,Swimming,10.0,Morning
17-Jul-2010,2010,Unprovoked,UNITED STATES,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13.0,N,13:30,Female,Swimming,13.0,Afternoon
17-Jul-2010,2010,Unprovoked,UNITED STATES,Florida,New Smyrna Beach,Surfing,M,55.0,N,nan,Male,Surfing,,
16-Jul-2010,2010,Provoked,SPAIN,Grand Canary Island,"Sardina Del Norte, Gáldar",Swimming,M,9.0,N,19:15,Male,Swimming,19.0,Evening
16-Jul-2010,2010,Unprovoked,UNITED STATES,Texas,Galveston,Fishing,M,,N,nan,Male,Fishing,,
11-Jul-2010,2010,Provoked,UNITED STATES,Florida,"Lauderdale-By-The-Sea, Broward County",Fishing,M,,N,nan,Male,Fishing,,
04-Jul-2010,2010,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21.0,N,nan,Female,Snorkeling,,
03-Jul-2010,2010,Provoked,UNITED STATES,New York,Off Long Island,Fishing,M,20.0,N,12:30,Male,Fishing,12.0,Afternoon
02-Jul-2010,2010,Unprovoked,UNITED STATES,California,"Pismo Beach, San Luis Obispo County",Surfing,M,19.0,N,Evening,Male,Surfing,,
02-Jul-2010,2010,Unprovoked,UNITED STATES,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,M,48.0,N,15:15,Male,Surfing,15.0,Afternoon
27-Jun-2010,2010,Unprovoked,UNITED STATES,Texas,"Eight Mile Beach, Galveston",Surfing,M,20.0,N,nan,Male,Surfing,,
25-Jun-2010,2010,Unprovoked,UNITED STATES,South Carolina,Fripp Island,Boogie Boarding,F,6.0,N,nan,Female,Surfing,,
25-Jun-2010,2010,Unprovoked,UNITED STATES,North Carolina,"Topsail Island, Pender County",Swimming,F,13.0,N,13:00,Female,Swimming,13.0,Afternoon
15-Jun-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,M,17.0,N,17:00,Male,Swimming,17.0,Evening
10-Jun-2010,2010,Unprovoked,UNITED STATES,Florida,Jacksonville,Boogie Boarding,F,18.0,N,12:30,Female,Surfing,12.0,Afternoon
06-Jun-2010,2010,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, Near Walpole",Surfing,M,40.0,N,12:00,Male,Surfing,12.0,Afternoon
Jun-2010,2010,Unprovoked,UNITED STATES,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,20.0,N,nan,Male,Surfing,,
30-May-2010,2010,Provoked,UNITED STATES,Florida,Off Tarpon Springs,Fishing,M,49.0,N,08:45,Male,Fishing,8.0,Morning
18-May-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Rescuing,F,58.0,N,18:00,Female,Other,18.0,Evening
18-May-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,F,60.0,N,18:00,Female,Swimming,18.0,Evening
18-May-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,,N,16:30,Male,Surfing,16.0,Afternoon
03-May-2010,2010,Unprovoked,MADAGASCAR,Antsiranana Province,"Ambatolaoka, Nosy Be Island",Scuba diving,M,59.0,N,09:30,Male,Diving,9.0,Morning
01-May-2010,2010,Unprovoked,UNITED STATES,Florida,New Smyrna Beach,Wading,F,10.0,N,10:30,Female,Swimming,10.0,Morning
28-Apr-2010,2010,Provoked,UNITED STATES,Florida,Hanalei Bay,Measuring sharks,M,29.0,N,Afternoon,Male,Other,,
19-Apr-2010,2010,Unprovoked,UNITED STATES,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68.0,N,16:00,Male,Surfing,16.0,Afternoon
13-Apr-2010,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,35.0,N,10:00,Male,Surfing,10.0,Morning
04-Apr-2010,2010,Unprovoked,EGYPT,Sinai Peninsula,Sharm El-Sheikh,Swimming / treading water,M,24.0,N,14:00,Male,Swimming,14.0,Afternoon
 27-Mar-2010,2010,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,M,34.0,N,11:00,Male,Surfing,11.0,Morning
190Feb-2010,2010,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,,N,Night,Male,Swimming,,
16-Feb-2010,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,,N,11:00,Male,Surfing,11.0,Morning
15-Feb-2010,2010,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Scuba diving,M,19.0,Y,09:30,Male,Diving,9.0,Morning
13-Feb-2010,2010,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60.0,N,13:30,Female,Snorkeling,13.0,Afternoon
11-Feb-2010,2010,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46.0,N,08:00,Male,Surfing,8.0,Morning
Reported 06-Feb-2010,2010,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,M,,N,nan,Male,Spearfishing,,
06-Feb-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,Body boarding,M,18.0,N,15:30,Male,Surfing,15.0,Afternoon
06-Feb-2010,2010,Provoked,UNITED STATES,Florida,Riviera Beach,Surf fishing / wading,M,,N,15:00,Male,Swimming,15.0,Afternoon
04-Feb-2010,2010,Invalid,GUAM,Merizo,Achang Reef,Spearfishing (free diving),M,31.0,Unknown,11:00,Male,Diving,11.0,Morning
03-Feb-2010,2010,Unprovoked,UNITED STATES,Florida,"Stuart, Martin County",Kite Boarding,M,38.0,Y,15:44,Male,Surfing,15.0,Afternoon
01-Feb-2010,2010,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,F,14.0,N,18:30,Female,Surfing,18.0,Evening
31-Jan-2010,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, Near Tramandai",Surfing,M,29.0,N,nan,Male,Surfing,,
27-Jan-2010,2010,Unprovoked,AUSTRALIA,Queensland,Archie'S Beach,Surfing,M,,N,16:30,Male,Surfing,16.0,Afternoon
22-Jan-2010,2010,Unprovoked,UNITED ARAB EMIRATES,Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,54.0,N,Evening,Male,Surfing,,
22-Jan-2010,2010,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,M,,N,07:30,Male,Surfing,7.0,Morning
12-Jan-2010,2010,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,Standing,M,37.0,Y,15:15,Male,Other,15.0,Afternoon
09-Jan-2010,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,9.0,N,nan,Female,Snorkeling,,
09-Jan-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Unknown,F,,N,nan,Female,Unknown,,
09-Jan-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Unknown,M,,N,17:00,Male,Unknown,17.0,Evening
09-Jan-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Bathing,M,,N,06:45,Male,Swimming,6.0,Morning
06-Jan-2010,2010,Unprovoked,UNITED STATES,Florida,Elliot Key,Spearfishing,M,32.0,N,10:15,Male,Spearfishing,10.0,Morning
05-Jan-2010,2010,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,M,,N,nan,Male,Surfing,,
29-Dec-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,M,20.0,N,08:30,Male,Swimming,8.0,Morning
26-Dec-2009,2009,Provoked,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,55.0,N,11:00,Male,Swimming,11.0,Morning
22-Dec-2009,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta Do Ouro,Swimming,M,27.0,N,16:30,Male,Swimming,16.0,Afternoon
20-Dec-2009,2009,Watercraft,AUSTRALIA,Queensland,Mudjimba Island,Kayaking,M,,N,11:00,Male,Other,11.0,Morning
20-Dec-2009,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,M,18.0,N,07:30,Male,Spearfishing,7.0,Morning
18-Dec-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,M,22.0,Y,14:30,Male,Surfing,14.0,Afternoon
18-Dec-2009,2009,Invalid,SOUTH AFRICA,Kwazulu-Natal,"North Beach, Durban",Surfing,M,,Unknown,nan,Male,Surfing,,
16-Dec-2009,2009,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming to shore from capsized kayak,M,24.0,Y,nan,Male,Swimming,,
13-Dec-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,Surfing,M,39.0,N,07:00,Male,Surfing,7.0,Morning
12-Dec-2009,2009,Watercraft,AUSTRALIA,New South Wales,Hawks Nest Beach,Rowing,Unknown,,N,07:30,Unknown,Other,7.0,Morning
05-Dec-2009,2009,Provoked,UNITED STATES,New Jersey,"Adventure Aquarium, Camden",Diving,M,58.0,N,13:00,Male,Diving,13.0,Afternoon
25-Nov-2009,2009,Invalid,UNITED STATES,California,"Huntington Beach, Orange County",Surfing,M,49.0,Unknown,15:30,Male,Surfing,15.0,Afternoon
24-Nov-2009,2009,Unprovoked,UNITED STATES,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,M,10.0,N,Morning,Male,Swimming,,
16-Nov-2009,2009,Unprovoked,UNITED STATES,California,"Loch Lomond, Marin County",Fishing,M,31.0,N,16:45,Male,Fishing,16.0,Afternoon
16-Nov-2009,2009,Unprovoked,UNITED STATES,Florida,"Jupiter, Palm Beach County",Surfing,M,22.0,N,09:30,Male,Surfing,9.0,Morning
13-Nov-2009,2009,Unprovoked,UNITED STATES,Florida,"Jupiter, Palm Beach County",Surfing,F,27.0,N,16:30,Female,Surfing,16.0,Afternoon
11-Nov-2009,2009,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18.0,N,Afternoon,Male,Surfing,,
08-Nov-2009,2009,Unprovoked,AUSTRALIA,South Australia,Second Valley,Kayaking,M,25.0,N,10:30,Male,Other,10.0,Morning
05-Nov-2009,2009,Unprovoked,UNITED STATES,California,"Davenport, Santa Cruz County",Surfing,M,21.0,N,Dusk,Male,Surfing,,
30-Oct-2009,2009,Watercraft,AUSTRALIA,Victoria,Portland,Kayaking,M,27.0,N,Morning,Male,Other,,
Reported 29-Oct-2009,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,M,,N,nan,Male,Spearfishing,,
28-Oct-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,Paddle-boarding,F,17.0,N,07:00,Female,Surfing,7.0,Morning
24-Oct-2009,2009,Unprovoked,UNITED STATES,California,"San Onofre, San Diego County",Surfing,M,,N,17:30,Male,Surfing,17.0,Evening
19-Oct-2009,2009,Unprovoked,UNITED STATES,Hawaii,"Kalama Park, Maui",Surfing,M,54.0,N,06:00,Male,Surfing,6.0,Morning
18-Oct-2009,2009,Unprovoked,PANAMA,Bocas,Playa La Cabaña,Wading,F,10.0,N,18:30,Female,Swimming,18.0,Evening
17-Oct-2009,2009,Provoked,UNITED KINGDOM,Fife,Deep Sea World Aquarium,Diving,M,23.0,N,14:45,Male,Diving,14.0,Afternoon
Reported 14-Oct-2009,2009,Unprovoked,AUSTRALIA,Western Australia,,Diving,M,23.0,N,nan,Male,Diving,,
09-Oct-2009,2009,Unprovoked,UNITED STATES,California,"San Onofre State Beach, San Diego County",Surfing,M,,N,11:00,Male,Surfing,11.0,Morning
02-Oct-2009,2009,Provoked,UNITED KINGDOM,Devon,Mewstone Rock,Fishing,M,39.0,N,12:50,Male,Fishing,12.0,Afternoon
26-Sep-2009,2009,Unprovoked,UNITED STATES,Florida,"Key Colony Beach, Monroe County",Swimming,M,,N,17:30,Male,Swimming,17.0,Evening
18-Sep-2009,2009,Unprovoked,VIETNAM,,,Unknown,M,,N,nan,Male,Unknown,,
15-Sep-2009,2009,Provoked,SOMALIA,,Off The Coast,Fishing,M,,N,nan,Male,Fishing,,
13-Sep-2009,2009,Provoked,BRAZIL,Pernambuco,"Piedade, Recife",Unknown,M,34.0,Y,nan,Male,Unknown,,
12-Sep-2009,2009,Invalid,UNITED STATES,North Carolina,"Corolla, Currituck County",Swimming,M,60.0,Y,21:00,Male,Swimming,21.0,Night
07-Sep-2009,2009,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",M,15.0,Y,Afternoon,Male,Swimming,,
02-Sep-2009,2009,Invalid,NEVIS,,Castle Beach,Swimming,M,,Unknown,nan,Male,Swimming,,
01-Sep-2009,2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (Formerly San Cristobal)",Fishing,M,,N,nan,Male,Fishing,,
30-Aug-2009,2009,Unprovoked,UNITED STATES,California,"Huntington Beach, Orange County",Surfing,M,,N,18:30,Male,Surfing,18.0,Evening
29-Aug-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,M,25.0,Y,15:30,Male,Surfing,15.0,Afternoon
25-Aug-2009,2009,Unprovoked,UNITED STATES,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,22.0,N,16:30,Female,Swimming,16.0,Afternoon
11-Aug-2009,2009,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Alkantstrand,Body boarding,M,,N,Lunchtime,Male,Surfing,,
10-Aug-2009,2009,Unprovoked,UNITED STATES,Florida,"Ponce, Volusia County",Swimming,M,26.0,N,19:00,Male,Swimming,19.0,Evening
06-Aug-2009,2009,Unprovoked,UNITED STATES,Hawaii,Kawa'A,Surfing,M,,N,08:45,Male,Surfing,8.0,Morning
01-Aug-2009,2009,Unprovoked,UNITED STATES,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,56.0,N,10:00,Male,Fishing,10.0,Morning
31-July-2009,2009,Unprovoked,BAHAMAS,Abaco Islands,Spanish Cay,Spearfishing,M,14.0,N,nan,Male,Spearfishing,,
30-Jul-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Broken Head,Surfing,M,14.0,N,06:15,Male,Surfing,6.0,Morning
29-Jul-2009,2009,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,F,41.0,N,17:30,Female,Swimming,17.0,Evening
Reported 24-Jul-2009,2009,Unprovoked,KENYA,Mombasa,Likoni Channel,Washing his feet,M,,Y,nan,Male,Other,,
24-Jul-2009,2009,Unprovoked,UNITED STATES,Texas,South Padre Island,Wading,F,14.0,N,Afternoon,Female,Swimming,,
24-Jul-2009,2009,Invalid,SPAIN,Catalunya,Sant Salvador,Swimming,F,11.0,Unknown,10:15,Female,Swimming,10.0,Morning
22-Jul-2009,2009,Unprovoked,UNITED STATES,North Carolina,Holden Beach. Brunswick County,Swimming,F,26.0,N,15:00,Female,Swimming,15.0,Afternoon
22-Jul-2009,2009,Unprovoked,UNITED STATES,Florida,"Intracoastal Waterway, St. Petersburg",Swimming,F,19.0,N,15:00,Female,Swimming,15.0,Afternoon
18-Jul-2009,2009,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,M,57.0,N,nan,Male,Swimming,,
11-Jul-2009,2009,Provoked,BAHAMAS,,,Spearfishing,M,,N,nan,Male,Spearfishing,,
11-Jul-2009,2009,Unprovoked,UNITED STATES,California,"San Onofre, San Diego County",Paddle-surfing,M,,N,08:30,Male,Surfing,8.0,Morning
07-Jul-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,M,37.0,N,11:15,Male,Surfing,11.0,Morning
05-Jul-2009,2009,Unprovoked,UNITED STATES,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,12.0,N,16:00,Female,Surfing,16.0,Afternoon
04-Jul-2009,2009,Provoked,UNITED STATES,Florida,"Biscayne National Park, Miami",Swimming,F,43.0,N,15j45,Female,Swimming,15.0,Afternoon
27-Jun-2009,2009,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52.0,N,08:45,Male,Surfing,8.0,Morning
21-Jun-2009,2009,Invalid,UNITED STATES,California,"Shell Beach, San Luis Obispo County",Surfing,M,26.0,Unknown,nan,Male,Surfing,,
16-Jun-2009,2009,Invalid,UNITED STATES,Florida,"Melbourne Beach, Brevard County",Crawling,M,14.0,Unknown,17:30,Male,Other,17.0,Evening
Reported 14-Jun-2009,2009,Provoked,VIETNAM,,,Fishing for sharks,M,,N,nan,Male,Fishing,,
02-Jun-2009,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,,N,nan,Male,Diving,,
02-Jun-2009,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,,N,nan,Male,Diving,,
01-Jun-2009,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Snorkeling,F,50.0,Y,Morning,Female,Snorkeling,,
31-May-2009,2009,Provoked,TAIWAN,Off Green Island,Onboard The Fishing Vessel Chin Sheng Fa,Fishing,M,46.0,N,20:30,Male,Fishing,20.0,Evening
25-May-2009,2009,Provoked,UNITED STATES,Florida,"Clearwater Beach, Pinellas County",Swimming,M,,N,20:30,Male,Swimming,20.0,Evening
17-May-2009,2009,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31.0,N,09:35,Male,Surfing,9.0,Morning
16-May-2009,2009,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,49.0,N,10:27,Male,Surfing,10.0,Morning
16-May-2009,2009,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,55.0,N,10:16,Male,Surfing,10.0,Morning
12-May-2009,2009,Provoked,GUAM,North Region,Ritidian Point,Spearfishing,M,27.0,N,Afternoon,Male,Spearfishing,,
06-Mar-2009,2009,Provoked,BAHAMAS,Exuma Islands,,Spearfishing,M,48.0,N,nan,Male,Spearfishing,,
28-Apr-2009,2009,Unprovoked,UNITED STATES,Florida,"St. Augustine, St. John'S County",Unknown,F,,N,16:45,Female,Unknown,16.0,Afternoon
Reported 25-Apr-2009,2009,Unprovoked,UNITED STATES,California,"San Onofre State Beach, San Diego County",Surfing,M,,N,10:00,Male,Surfing,10.0,Morning
21-Apr-2009,2009,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20.0,N,Afternoon,Male,Surfing,,
20-Apr-2009,2009,Unprovoked,PHILIPPINES,Batangas Province,Mabini,Swimming,M,23.0,N,05:00,Male,Swimming,5.0,Morning
19-Apr-2009,2009,Unprovoked,UNITED STATES,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,52.0,N,16:00,Male,Surfing,16.0,Afternoon
17-Apr-2009,2009,Unprovoked,UNITED STATES,Florida,"Walton Rocks, St Lucie County",Surfing,M,31.0,N,13:15,Male,Surfing,13.0,Afternoon
11-Apr-2009,2009,Invalid,UNITED STATES,Hawaii,Kona,Spearfishing,M,49.0,Unknown,nan,Male,Spearfishing,,
12-Apr-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,Surf skiing ,M,40.0,N,08:00,Male,Surfing,8.0,Morning
06-Apr-2009,2009,Invalid,SOUTH AFRICA,Kwazulu-Natal,Umtentweni,Swimming,M,24.0,Unknown,Morning,Male,Swimming,,
06-Apr-2009,2009,Unprovoked,UNITED STATES,California,San Diego County,Spearfishing,M,,N,07:45,Male,Spearfishing,7.0,Morning
03-Apr-2009,2009,Unprovoked,UNITED STATES,Florida,"Sanibel Island, Lee County",Wading,M,15.0,N,16:00,Male,Swimming,16.0,Afternoon
27-Mar-2009,2009,Provoked,SOUTH AFRICA,Eastern Cape Province,- North Of Sunday'S River Mouth,Fishing ,M,59.0,N,nan,Male,Fishing,,
21-Mar-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John'S",Surfing,M,16.0,Y,Afternoon,Male,Surfing,,
20-Mar-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Blue Bay,Surfing,M,17.0,N,18:45,Male,Surfing,18.0,Evening
19-Mar-2009,2009,Unprovoked,AUSTRALIA,New South Wales,South Broulee,Surfing,M,,N,Early morning,Male,Surfing,,
19-Mar-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Bateman'S Bay,Surfing,F,,N,07:45,Female,Surfing,7.0,Morning
18-Mar-2009,2009,Unprovoked,UNITED STATES,Florida,"Ponce Inlet, Volusia County",Surfing,F,17.0,N,17:30,Female,Surfing,17.0,Evening
Reported 17-Mar-2009,2009,Unprovoked,MALAYSIA,Strait Of Malacca,Pulau Payar Island,Feeding fish,F,,N,nan,Female,Fishing,,
17-Mar-2009,2009,Unprovoked,UNITED STATES,Hawaii,Alenuihaha Channel,Swimming,M,61.0,N,20:00,Male,Swimming,20.0,Evening
Reported 16-Mar-2009,2009,Provoked,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",Wading,M,21.0,N,nan,Male,Swimming,,
06-Mar-2009,2009,Unprovoked,NEW CALEDONIA,South Province,Bourail,Surfing,M,19.0,Y,11:30,Male,Surfing,11.0,Morning
02-Mar-2009,2009,Provoked,SOUTH AFRICA,Western Cape Province,Off Cape Point,Fishing,M,40.0,N,13:30,Male,Fishing,13.0,Afternoon
01-Mar-2009,2009,Watercraft,NEW ZEALAND,North Island,Taranaki,Fishing,M,,N,nan,Male,Fishing,,
01-Mar-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Avalon,Surfing,M,15.0,N,06:45,Male,Surfing,6.0,Morning
22-Feb-2009,2009,Unprovoked,AUSTRALIA,Queensland,Batt Reef,Fishing,M,,N,10:15,Male,Fishing,10.0,Morning
18-Feb-2009,2009,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Near Port Macquarie",Surfing,M,,N,17:00,Male,Surfing,17.0,Evening
12-Feb-2009,2009,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Surfing,M,33.0,N,19:30,Male,Surfing,19.0,Evening
11-Feb-2009,2009,Unprovoked,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,31.0,N,Before 07:00,Male,Surfing,7.0,Morning
08-Feb-2009,2009,Sea Disaster,UNITED STATES,Puerto Rico,Quebradillas,Air Disaster,M,,Y,nan,Male,Other,,
07-Feb-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,Surfing,M,41.0,N,11:00,Male,Surfing,11.0,Morning
07-Feb-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Sandon,Surfing,M,,N,07:30,Male,Surfing,7.0,Morning
Reported 27-Jan-2009,2009,Provoked,AZORES,,Onboard The Fishing Vessel Nuevo Cedes,Fishing,M,49.0,N,nan,Male,Fishing,,
Reported 26-Jan-2009,2009,Invalid,BRAZIL,,Praia Do Olho D'Aqua,Unknown,M,17.0,Unknown,nan,Male,Unknown,,
25-Jan-2009,2009,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay,Spearfishing,M,15.0,N,10:30,Male,Spearfishing,10.0,Morning
24-Jan-2009,2009,Watercraft,NEW ZEALAND,North Island,Alderman Islands,Fishing,Unknown,,N,19:00,Unknown,Fishing,19.0,Evening
24-Jan-2009,2009,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19.0,N,16:30,Male,Swimming,16.0,Afternoon
24-Jan-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John'S",Swimming,M,25.0,Y,14:00,Male,Swimming,14.0,Afternoon
23-Jan-2009,2009,Invalid,BRAZIL,Maranhão,Olho D'Água,Swimming,M,17.0,Unknown,nan,Male,Swimming,,
18-Jan-2009,2009,Watercraft,AUSTRALIA,Victoria,Off Tower Hill,Fishing,M,,N,09:20,Male,Fishing,9.0,Morning
16-Jan-2009,2009,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,Surfing,M,,N,nan,Male,Surfing,,
Reported 13-Jan-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, Off Gansbaai",Unknown,Unknown,,Y,nan,Unknown,Unknown,,
12-Jan-2009,2009,Unprovoked,AUSTRALIA,New South Wales,"Windang, Lake Illawara",Snorkeling,M,24.0,N,10:45,Male,Snorkeling,10.0,Morning
11-Jan-2009,2009,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,Surfing,F,13.0,N,15:45,Female,Surfing,15.0,Afternoon
11-Jan-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,Surfing,M,31.0,N,09:00,Male,Surfing,9.0,Morning
    10-Jan-2009,2009,Watercraft,NEW ZEALAND,North Island,Hawkes Bay,Fishing,Unknown,,N,nan,Unknown,Fishing,,
10-Jan-2009,2009,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,M,22.0,N,nan,Male,Surfing,,
06-Jan-2009,2009,Unprovoked,NEW ZEALAND,North Island,Haumoana,Swimming,M,49.0,N,17:30,Male,Swimming,17.0,Evening
Jan-2009,2009,Unprovoked,CUBA,Guantanamo Province,Guantanamo,Spearfishing,Unknown,,N,nan,Unknown,Spearfishing,,
